Pipeline,Compound,MOLECULE,SMILES,Fingerprint similarity of the most similar DEL PTE to the given compound,Average fingerprint similarity of the top 10 most similar DEL PTEs to the given compound,HPLC-UV (at 280 nM),KD_microM,KD_2_microM,% Rmax,% Rmax_2,SPR sensorgram,DSF_delta_Tm_?C,Comment,Stereochemistry,Catalog_Number,ChemiReg_ID
Primary predictions,1,C1CN(CC1O)c1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,C1CN(CC1O)c1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,0.46,0.41,>95% ,6,6,91,98,,did not stabilize,co-crystallized,racemate,Z4305885019,MR45279
confirming that chiral center of 1 is not needed,(R)-1,O[C@H]1CN(C2=CC=C(C(NC3(C4=CC=C(Cl)C=C4)COC3)=O)C=C2)CC1,O[C@H]1CN(C2=CC=C(C(NC3(C4=CC=C(Cl)C=C4)COC3)=O)C=C2)CC1,NA,NA,>95%,6,6,61,75,,not tested,"R enantiomer of compound 1. SPR run using Biacore 8K, Multi-cycle kinetics",R-enantiomer of 1,Z8515385889 ,DR03112
confirming that chiral center of 1 is not needed,(S)-1,O[C@@H]1CN(C2=CC=C(C(NC3(C4=CC=C(Cl)C=C4)COC3)=O)C=C2)CC1,O[C@@H]1CN(C2=CC=C(C(NC3(C4=CC=C(Cl)C=C4)COC3)=O)C=C2)CC1,NA,NA,>95%,6,6,65,66,,not tested,"S enantiomer of compound 1. SPR run using Biacore 8K, Multi-cycle kinetics",S-enantiomer of 1,Z8515385379 ,DR03111
SAR-by-ML,2,C1CN(CCC1O)c1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,C1CN(CCC1O)c1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,0.47,0.42,>95%,6,6,103,101,,not tested,,,Z4183610153,DR01977
SAR-by-ML,3,CN1CCc2cc(C(NC3(COC3)c3ccc(cc3)[Cl])=O)sc2C1,CN1CCc2cc(C(NC3(COC3)c3ccc(cc3)[Cl])=O)sc2C1,0.44,0.39,,8,8,99,98,,not tested,,,Z7151300559,DR01978
SAR-by-ML,4,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccc(c2cc[nH]n2)s1)=O,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccc(c2cc[nH]n2)s1)=O,0.56,0.41,>95%,8,8,104,102,,not tested,,,Z7151300573,DR01939
SAR-by-ML,5,Cc1cn2cc(C(NC3(COC3)c3ccc(cc3)[Cl])=O)sc2n1,Cc1cn2cc(C(NC3(COC3)c3ccc(cc3)[Cl])=O)sc2n1,0.5,0.44,,11,11,87,87,,not tested,,,Z7151300551,DR01940
SAR-by-ML,6,C1CC(N(C1)Cc1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O)=O,C1CC(N(C1)Cc1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O)=O,0.45,0.41,,11,11,75,75,,not tested,,,Z4183609516,DR01954
SAR-by-ML,7,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccc2c(c1)nns2)=O,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccc2c(c1)nns2)=O,0.48,0.46,,14,14,93,91,,not tested,,,Z7151300543,DR01944
SAR-by-ML,8,C(CO)C(c1ccc(cc1)[Cl])NC(c1ccc(cc1)N1CCC(C1)O)=O,C(CO)C(c1ccc(cc1)[Cl])NC(c1ccc(cc1)N1CCC(C1)O)=O,0.51,0.46,,14,14,98,96,,not tested,,racemate,Z4303836594,DR01961
SAR-by-ML,9,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccc(cc1)C1(COC1)O)=O,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccc(cc1)C1(COC1)O)=O,0.52,0.45,,15,15,66,65,,not tested,,,Z4183612305,DR01949
SAR-by-ML,10,C1CC(CN(C1)c1ccc(cc1)C(NC(C1CC1)c1ccc(cc1)[Cl])=O)C(N)=O,C1CC(CN(C1)c1ccc(cc1)C(NC(C1CC1)c1ccc(cc1)[Cl])=O)C(N)=O,0.46,0.41,,16,16,79,78,,not tested,,racemate,Z804133980,DR01957
SAR-by-ML,11,CC(NCc1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O)=O,CC(NCc1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O)=O,0.48,0.43,,20,20,68,66,,not tested,,,Z4154517603,DR01942
SAR-by-ML,12,C1CC(CN(C1)c1ccc(cc1)C(NC(CCO)c1ccc(cc1)[Cl])=O)C(N)=O,C1CC(CN(C1)c1ccc(cc1)C(NC(CCO)c1ccc(cc1)[Cl])=O)C(N)=O,0.48,0.43,,22,22,82,81,,not tested,,racemate,Z2140947981,DR01997
SAR-by-ML,13,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccc2c(N)ncnc2c1)=O,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccc2c(N)ncnc2c1)=O,0.43,0.42,,37,37,90,88,,not tested,,,Z7151300550,DR01943
SAR-by-ML,14,C1CN(CC1O)c1ccc(cc1)C(N1CC(C1)(c1ccc(cc1)[Cl])O)=O,C1CN(CC1O)c1ccc(cc1)C(N1CC(C1)(c1ccc(cc1)[Cl])O)=O,0.31,0.28,,42,41,85,81,,not tested,,racemate,Z4304261471,DR01974
SAR-by-ML,15,C1C(Nc2cccc(C(NC3(COC3)c3ccc(cc3)[Cl])=O)c12)=O,C1C(Nc2cccc(C(NC3(COC3)c3ccc(cc3)[Cl])=O)c12)=O,0.39,0.37,,97,98,91,90,,not tested,,,Z7151300560,DR01947
Primary predictions,16,C1CC(N(C1)Cc1ccc(cc1)C(NC(CCO)c1ccc(cc1)[Cl])=O)=O,C1CC(N(C1)Cc1ccc(cc1)C(NC(CCO)c1ccc(cc1)[Cl])=O)=O,0.47,0.44,,99,97,68,73,,not tested,,racemate,Z2200611484,MR45272
SBDD; SAR-by-catalog,17,C=CC(Nc1ccc(CC(NC2(COC2)c2ccccc2)=O)cc1)=O,C=CC(Nc1ccc(CC(NC2(COC2)c2ccccc2)=O)cc1)=O,0.31,0.3,,0,0,0,0,,did not stabilize,"Covalent analog. No MS adduct formed. No significant binding by SPR. SPR run using Biacore 8K, Multi-cycle kinetics",,Z4899562699,MR46653
SBDD; SAR-by-catalog,18,C=CC(N1CCCc2c(cccc12)C(NC1(COC1)c1ccc(cc1)[Cl])=O)=O,C=CC(N1CCCc2c(cccc12)C(NC1(COC1)c1ccc(cc1)[Cl])=O)=O,0.35,0.34,>95%,36,38,72,71,,4,Covalent analog. MS confirms adduct; co-crystallized; predicted but not purchased. SPR run using multi-cycle kinetics,,Z4899441432,MR46654
SBDD; SAR-by-catalog,19,C=CC(N1CCCc2c(cccc12)C(NC(C1CC1)c1ccc(cc1)[Cl])=O)=O,C=CC(N1CCCc2c(cccc12)C(NC(C1CC1)c1ccc(cc1)[Cl])=O)=O,0.38,0.36,>95%,43,41,76,57,,4,Covalent analog. MS confirms adduct forms. SPR run using multi-cycle kinetics,racemate,Z5002582467,DR02365
SBDD; SAR-by-catalog,20,C=CC(N1CCCc2c(cccc12)C(NC(C1CCCCC1)c1ccc(cc1)F)=O)=O,C=CC(N1CCCc2c(cccc12)C(NC(C1CCCCC1)c1ccc(cc1)F)=O)=O,0.29,0.26,,0,0,0,0,,did not stabilize,"Covalent analog. No MS adduct formed. No significant binding by SPR. SPR run using Biacore 8K, Multi-cycle kinetics",racemate,Z5002582729,DR02366
SAR-by-ML,21,C1CN(CC1O)c1ccc(cc1)C(NCc1cc(cc2COCOc12)F)=O,C1CN(CC1O)c1ccc(cc1)C(NCc1cc(cc2COCOc12)F)=O,0.57,0.5,,4,5,45,45,,not tested,"Comparatively low binding, solubility issue at higher compound concentration in SPR buffer",racemate,Z4302640305,DR01999
SAR-by-ML,22,C1CN(CC1O)c1ccc(cc1)C(NC(c1ccccc1)c1ccco1)=O,C1CN(CC1O)c1ccc(cc1)C(NC(c1ccccc1)c1ccco1)=O,0.51,0.44,,5,4,34,33,,not tested,low binding,racemate,Z7151300570,DR01969
SAR-by-ML,23,C1Cc2ccc(cc2C1NC(c1ccc(cc1)N1CCC(C1)O)=O)[Cl],C1Cc2ccc(cc2C1NC(c1ccc(cc1)N1CCC(C1)O)=O)[Cl],0.55,0.48,,5,5,17,16,,not tested,low binding,racemate,Z7151300565,DR02004
SAR-by-ML,24,C1CCN(C1)c1ccc(cc1)C(NC(CCO)c1ccc(cc1)[Cl])=O,C1CCN(C1)c1ccc(cc1)C(NC(CCO)c1ccc(cc1)[Cl])=O,0.68,0.55,,7,7,47,46,,not tested,"Comparatively low binding, solubility issue at higher compound concentration in SPR buffer",racemate,Z7151300542,DR01941
SAR-by-ML,25,C1CC1c1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,C1CC1c1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,0.49,0.43,,7,7,50,49,,not tested,Comparatively low binding,,Z7151300575,DR01972
SAR-by-ML,26,C1CN(CC1O)c1ccc(cc1)C(NCc1ccc2c(c1)nsn2)=O,C1CN(CC1O)c1ccc(cc1)C(NCc1ccc2c(c1)nsn2)=O,0.52,0.42,,12,10,49,51,,not tested,Solubility issue at higher compound concentration in SPR buffer,racemate,Z4304732836,DR02011
Primary predictions,27,C(c1ccc2c(c1)OCO2)NC(c1ccc2c(c1)nns2)=O,C(c1ccc2c(c1)OCO2)NC(c1ccc2c(c1)nns2)=O,0.6,0.54,,17,17,54,58,,not tested,Comparatively low binding. Solubility issue at higher compound concentration in SPR buffer,,7092495,MR44780
SAR-by-ML,28,CCC(c1ccc(cc1)[Cl])NC(c1ccc(cc1)C1(COC1)O)=O,CCC(c1ccc(cc1)[Cl])NC(c1ccc(cc1)C1(COC1)O)=O,0.5,0.44,,35,35,52,52,,not tested,Comparatively low binding,racemate,Z3340126714,DR01946
Primary predictions,29,CC(c1cccc(c1)[Cl])NC(c1ccc2c(c1)NC(CO2)=O)=O,CC(c1cccc(c1)[Cl])NC(c1ccc2c(c1)NC(CO2)=O)=O,0.44,0.41,,36,38,32,33,,not tested,Comparatively low binding,racemate,Z73340212,MR44791
SAR-by-ML,30,COC(c1ccc(C(NC2(COC2)c2ccc(cc2)[Cl])=O)nc1)=O,COC(c1ccc(C(NC2(COC2)c2ccc(cc2)[Cl])=O)nc1)=O,0.47,0.43,,82,82,49,47,,not tested,Comparatively low binding,,Z7151300567,DR01956
Primary predictions,31,CC(c1ccc(c(c1)[Cl])[Cl])NC(c1ccc(CNC(N)=O)cc1)=O,CC(c1ccc(c(c1)[Cl])[Cl])NC(c1ccc(CNC(N)=O)cc1)=O,0.51,0.46,,95,102,54,58,,not tested,Comparatively low binding. Also binding to the negative control.,racemate,Z28099046,MR44836
Primary predictions,32,C1CC2C(Nc3cc(ccc3N2C1)C(NC(CCO)c1ccc(c(c1)[Cl])[Cl])=O)=O,C1CC2C(Nc3cc(ccc3N2C1)C(NC(CCO)c1ccc(c(c1)[Cl])[Cl])=O)=O,0.34,0.32,,113,112,82,87,,not tested,Also binding to the negative control.,racemate,Z2091422650,MR45335
SAR-by-ML,33,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccnc(c1)C(N)=O)=O,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccnc(c1)C(N)=O)=O,0.46,0.45,,130,135,60,61,,not tested,Comparatively low binding,,Z7151300554,DR02000
SAR-by-ML,34,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1c(c(ns1)O)[Cl])=O,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1c(c(ns1)O)[Cl])=O,0.42,0.4,,135,139,61,62,,not tested,Comparatively low binding,,Z7151300552,DR01967
Primary predictions,35,CC(c1ccc(cc1)[Cl])NC(c1ccc2C(N3CCCC3=Nc2c1)=O)=O,CC(c1ccc(cc1)[Cl])NC(c1ccc2C(N3CCCC3=Nc2c1)=O)=O,0.39,0.37,,270,265,93,94,,not tested,Also binding to the negative control.,racemate,Z27996284,MR44821
SAR-by-ML,36,C1CN(CC1O)c1ccc(cc1)C(NC1(CC1)c1ccc(cc1)[Cl])=O,C1CN(CC1O)c1ccc(cc1)C(NC1(CC1)c1ccc(cc1)[Cl])=O,0.45,0.4,,>10,>10,45,55,,not tested,"Comparatively low binding. Solubility issue at higher compound concentration in SPR buffer. KD not reliable. SPR run using Biacore 8K, Multi-cycle kinetics",racemate,Z7151300574,DR01980
Primary predictions,37,Cc1cc(c(cc1C(NC1(CCC1)c1cccc(C#N)c1)=O)O)O,Cc1cc(c(cc1C(NC1(CCC1)c1cccc(C#N)c1)=O)O)O,0.32,0.3,,>217,>215,159,167,,not tested,Sticky. KD not reliable,,Z4292556414,MR45322
Primary predictions,38,C(c1ccc2cnccc2c1)NC(c1c(c(ns1)O)[Cl])=O,C(c1ccc2cnccc2c1)NC(c1c(c(ns1)O)[Cl])=O,0.29,0.27,,>581,>532,256,260,,not tested,Non-specific binding. Also binding to the negative control. Kd not reliable.,,Z5419392745,MR45296
Primary predictions,39,Cc1ccccc1N1CCC(CNC(Cc2ccc(cc2)C(F)(F)F)=O)C1,Cc1ccccc1N1CCC(CNC(Cc2ccc(cc2)C(F)(F)F)=O)C1,0.46,0.43,,0,0,,,,not tested,,racemate,15428757,MR44786
Primary predictions,40,C1CN(CC1CN1C=Nc2cccc(c2C1=O)F)C1CC1,C1CN(CC1CN1C=Nc2cccc(c2C1=O)F)C1CC1,0.36,0.35,,0,0,,,,not tested,,,31215251,MR44781
Primary predictions,41,COc1cccc2CN(CCCOc12)C(c1cn2ccsc2n1)=O,COc1cccc2CN(CCCOc12)C(c1cn2ccsc2n1)=O,0.48,0.4,,0,0,,,,not tested,,,44017216,MR44787
Primary predictions,42,Cc1cc(c(cc1[N+]([O-])=O)F)N1CCN(CC1)C(c1cc(c(cc1[N+]([O-])=O)F)F)=O,Cc1cc(c(cc1[N+]([O-])=O)F)N1CCN(CC1)C(c1cc(c(cc1[N+]([O-])=O)F)F)=O,0.32,0.3,,0,0,,,,not tested,,,5784919,MR44777
Primary predictions,43,C1CCN(C1)c1ccc(c(c1)NCc1ccc(cc1)[Cl])[N+]([O-])=O,C1CCN(C1)c1ccc(c(c1)NCc1ccc(cc1)[Cl])[N+]([O-])=O,0.33,0.31,,0,0,,,,not tested,,,5811112,MR44778
Primary predictions,44,C(c1ccc2c(c1)non2)NC(c1cn2ccsc2n1)=O,C(c1ccc2c(c1)non2)NC(c1cn2ccsc2n1)=O,0.59,0.41,,0,0,,,,not tested,,,69328609,MR44782
Primary predictions,45,Cc1c(C#N)c2ccccc2n1CC(N1CCc2ccccc2C1)=O,Cc1c(C#N)c2ccccc2n1CC(N1CCc2ccccc2C1)=O,0.55,0.55,,0,0,,,,not tested,,,6969063,MR44779
Primary predictions,46,C1CCC2(C1)CC(c1ccccc1O2)NC(C1=CN=C2C=CC=CN2C1=O)=O,C1CCC2(C1)CC(c1ccccc1O2)NC(C1=CN=C2C=CC=CN2C1=O)=O,0.37,0.35,,0,0,,,,not tested,,racemate,79963605,MR44783
Primary predictions,47,Cc1c2cc(ccc2n(C)c1C(NCc1nc(N)[nH]n1)=O)F,Cc1c2cc(ccc2n(C)c1C(NCc1nc(N)[nH]n1)=O)F,0.57,0.49,,0,0,,,,not tested,,,87734830,MR44784
Primary predictions,48,C1CCN(C1)c1ccc(CNC(c2ccc(cc2)F)=O)cc1,C1CCN(C1)c1ccc(CNC(c2ccc(cc2)F)=O)cc1,0.49,0.42,,0,0,,,,not tested,,,9131112,XS19722b
Primary predictions,49,CN(CCc1ccccc1)C(c1c(CN2CC[C@@H](C2)O)n2ccsc2n1)=O,CN(CCc1ccccc1)C(c1c(CN2CC[C@@H](C2)O)n2ccsc2n1)=O,0.5,0.45,,0,0,,,,not tested,,chiral,94003140,MR44785
Primary predictions,50,C1Cc2ccccc2C1NC(c1ccc(cc1)[Cl])=O,C1Cc2ccccc2C1NC(c1ccc(cc1)[Cl])=O,0.5,0.43,,0,0,,,,not tested,,racemate,F2191-0096,MR44788
Primary predictions,51,COC(c1ccccc1NC(c1ccc2c(c1)snn2)=O)=O,COC(c1ccccc1NC(c1ccc2c(c1)snn2)=O)=O,0.37,0.35,,0,0,,,,not tested,,,F3375-0068,MR44841
Primary predictions,52,COc1cccc(c1)N1CCC(CNC(c2cccc(c2)F)=O)C1,COc1cccc(c1)N1CCC(CNC(c2cccc(c2)F)=O)C1,0.45,0.42,,0,0,,,,not tested,,racemate,Z1024157862,MR44811
Primary predictions,53,C1=Cc2cc(ccc2OC1=O)NC(c1cc(c(cc1[N+]([O-])=O)F)F)=O,C1=Cc2cc(ccc2OC1=O)NC(c1cc(c(cc1[N+]([O-])=O)F)F)=O,0.3,0.27,,0,0,,,,not tested,,,Z1081019716,MR44828
Primary predictions,54,C(C(NC1(CC1)c1ccc(cc1)[Cl])=O)c1cn2ccsc2n1,C(C(NC1(CC1)c1ccc(cc1)[Cl])=O)c1cn2ccsc2n1,0.47,0.41,,0,0,,,,not tested,,,Z1183595865,MR44790
Primary predictions,55,C(CNC(Nc1cccc(c1)N1CCNC1=O)=O)c1ccc(c(c1)O)O,C(CNC(Nc1cccc(c1)N1CCNC1=O)=O)c1ccc(c(c1)O)O,0.43,0.3,,0,0,,,,not tested,,,Z1213139523,MR44825
Primary predictions,56,CN(CC1CCN(C1)Cc1ccccc1)C(Cc1cccc(c1)O)=O,CN(CC1CCN(C1)Cc1ccccc1)C(Cc1cccc(c1)O)=O,0.68,0.56,,0,0,,,,not tested,,racemate,Z1286918850,MR44819
Primary predictions,57,C1CN(CC1NC(c1cccc2c1OCO2)=O)c1cccc(c1)[Cl],C1CN(CC1NC(c1cccc2c1OCO2)=O)c1cccc(c1)[Cl],0.41,0.33,,0,0,,,,not tested,,racemate,Z1355292329,MR44807
Primary predictions,58,CC(c1cccc(c1)N1CCCC1)NC(C1Cc2ccccc2O1)=O,CC(c1cccc(c1)N1CCCC1)NC(C1Cc2ccccc2O1)=O,0.48,0.38,,0,0,,,,not tested,,racemate,Z1391687781,MR44823
Primary predictions,59,CC1CN(CC1NC(c1cc2cc(ccc2o1)[Br])=O)C1CC1,CC1CN(CC1NC(c1cc2cc(ccc2o1)[Br])=O)C1CC1,0.3,0.28,,0,0,,,,not tested,,racemate,Z1410738100,MR44827
Primary predictions,60,CC1CN(CC1NS(c1cnn(c1)c1ccccc1)(=O)=O)C1CC1,CC1CN(CC1NS(c1cnn(c1)c1ccccc1)(=O)=O)C1CC1,0.29,0.25,,0,0,,,,not tested,,racemate,Z1438168066,MR44803
Primary predictions,61,C1CC(c2ccccc2OC1)NC1CCN(C1)C1CC1,C1CC(c2ccccc2OC1)NC1CCN(C1)C1CC1,0.3,0.24,,0,0,,,,not tested,,racemate,Z1439448519,MR44835
Primary predictions,62,C1CN(CC1CNc1c2cnccc2ncn1)c1ccc(c(c1)F)F,C1CN(CC1CNc1c2cnccc2ncn1)c1ccc(c(c1)F)F,0.3,0.28,,0,0,,,,not tested,,racemate,Z1502744753,MR44795
Primary predictions,63,CN(C)c1nc2ccc(cc2o1)NCc1cc2c(cc1O)OCO2,CN(C)c1nc2ccc(cc2o1)NCc1cc2c(cc1O)OCO2,0.33,0.27,,0,0,,,,not tested,,,Z1600832277,MR44799
Primary predictions,64,C(C(c1ccc(cc1)[Cl])NC(c1cccc2cn[nH]c12)=O)O,C(C(c1ccc(cc1)[Cl])NC(c1cccc2cn[nH]c12)=O)O,0.47,0.37,,0,0,,,,not tested,,racemate,Z1644951171,MR44832
Primary predictions,65,Cc1cc2ccccc2n1CC(Nc1cc(ccc1N1CCCC1)C(N)=O)=O,Cc1cc2ccccc2n1CC(Nc1cc(ccc1N1CCCC1)C(N)=O)=O,0.39,0.37,,0,0,,,,not tested,,,Z165036438,MR44789
Primary predictions,66,C1CN(Cc2ccccc2NCc2ccc(c(C#N)c2)F)C(N1)=O,C1CN(Cc2ccccc2NCc2ccc(c(C#N)c2)F)C(N1)=O,0.49,0.41,,0,0,,,,not tested,,,Z1672510704,MR44804
Primary predictions,67,COc1ccc(cc1)C(c1ccc(cc1)OC)NC(CN1CCn2c(C1)ncn2)=O,COc1ccc(cc1)C(c1ccc(cc1)OC)NC(CN1CCn2c(C1)ncn2)=O,0.33,0.32,,0,0,,,,not tested,,,Z1717666979,MR44794
Primary predictions,68,C1C(C(c2ccccc12)O)NC(c1ccc2CC(Nc2c1)=O)=O,C1C(C(c2ccccc12)O)NC(c1ccc2CC(Nc2c1)=O)=O,0.47,0.39,,0,0,,,,not tested,,racemate,Z1796205282,MR44800
Primary predictions,69,CCOc1ccc2c(c1)C(CCO2)NC(c1cn2ccnc2s1)=O,CCOc1ccc2c(c1)C(CCO2)NC(c1cn2ccnc2s1)=O,0.37,0.33,,0,0,,,,not tested,,racemate,Z1796267602,MR44834
Primary predictions,70,C1CCN(C1)c1cc(C#N)cc(c1)[Br],C1CCN(C1)c1cc(C#N)cc(c1)[Br],0.29,0.25,,0,0,,,,not tested,,,Z1799965185,MR44812
Primary predictions,71,C(c1cc(cc(c1)[Cl])C(F)(F)F)Nc1ccc(C#N)nc1,C(c1cc(cc(c1)[Cl])C(F)(F)F)Nc1ccc(C#N)nc1,0.3,0.28,,0,0,,,,not tested,,,Z2007210562,MR44806
Primary predictions,72,C1CN(CC1CNC(NCC1CC(C(N)=O)=NO1)=O)c1ccccc1,C1CN(CC1CNC(NCC1CC(C(N)=O)=NO1)=O)c1ccccc1,0.49,0.47,,0,0,,,,not tested,,racemate,Z2038072310,MR44840
Primary predictions,73,CC1CC(CN1C1CC1)Nc1nc(C)cc(C#N)n1,CC1CC(CN1C1CC1)Nc1nc(C)cc(C#N)n1,0.23,0.22,,0,0,,,,not tested,,racemate,Z2091654699,MR44798
Primary predictions,74,CN(C)C1(Cc2ccccc2C1)CNC(c1ccc2c(c1)NC(=O)O2)=O,CN(C)C1(Cc2ccccc2C1)CNC(c1ccc2c(c1)NC(=O)O2)=O,0.3,0.28,,0,0,,,,not tested,,,Z2116983991,MR44797
Primary predictions,75,C1CC2(CCN(C2)C(c2c(c(ns2)O)[Cl])=O)Oc2ccccc12,C1CC2(CCN(C2)C(c2c(c(ns2)O)[Cl])=O)Oc2ccccc12,0.25,0.23,,0,0,,,,not tested,,racemate,Z2204217609,MR44808
Primary predictions,76,Cc1cc(nc(NC(c2ccoc2C2CC2)=O)n1)OC,Cc1cc(nc(NC(c2ccoc2C2CC2)=O)n1)OC,0.34,0.29,,0,0,,,,not tested,,,Z2319505260,MR44772
